Exercice ,Branche,Code Produit,Sous-Branche,Règlement,Day,Month,Year
2021,0,5,1,3058431658.25,14,10,2019
2018,0,5,1,2972782699.76,14,3,2017
2019,0,5,1,2611498652.63,17,6,2017
2016,0,5,1,2547475510.49,27,1,2015
2022,0,5,1,2057631891.6,4,1,2021
2023,0,11,2,890817304.31,4,4,2018
2023,0,5,1,1898000000.0,10,10,2021
2023,0,5,1,1750000000.0,10,10,2021
2015,0,5,1,1659443200.89,27,1,2015
2016,0,5,1,1656327585.0,17,2,2013
2015,0,11,2,246236228.0,16,4,2013
2017,0,5,1,1621249500.0,21,11,2015
2022,0,10,1,1493596302.58,15,9,2006
2022,0,10,1,1340406422.9,15,9,2006
2021,0,5,1,1112479900.0,4,1,2021
2017,0,5,1,1085571367.7,14,3,2017
2015,0,5,1,960126029.29,2,12,2009
2015,0,5,1,914244072.23,21,5,2014
2017,0,5,1,819485541.16,27,1,2015
2020,0,5,1,700055134.39,14,10,2019
2020,0,5,1,613017626.55,29,6,2011
2023,0,11,2,111267862.0,7,4,2022
2023,0,11,2,107894230.07,17,5,2019
2020,0,11,2,38688139.44,9,3,2014
2023,0,5,1,600000000.0,5,4,2021
2020,0,5,1,569296773.28,1,7,2019
2023,0,5,1,530000000.0,25,7,2021
2017,0,5,1,515521684.0,12,4,2016
2014,0,5,1,409183740.18,15,9,2011
2019,0,5,1,338297930.11,23,12,2017
2016,0,11,2,35155586.84,16,4,2013
2021,0,5,1,313500000.0,2,9,2018
2019,0,5,1,294724750.0,2,9,2018
2015,0,5,1,293208028.98,21,5,2014
2023,0,4,1,250377760.4,28,8,2022
2021,0,5,1,238740332.53,23,12,2019
2023,0,5,1,219036419.2,20,5,2022
2016,0,5,1,217837221.58,21,5,2014
2021,0,5,1,209353193.73,10,1,2015
2021,0,5,1,207198126.25,30,4,2014
2022,0,5,1,200000000.0,20,5,2022
2017,0,5,1,175432834.18,26,3,2014
2017,0,5,1,174292719.79,22,7,2013
2020,0,5,1,169719552.25,22,5,2018
2017,0,10,1,164305469.45,22,10,2015
2021,0,5,1,164011734.29,20,2,2019
2020,0,5,1,163464290.2,2,4,2016
2023,0,5,1,160629723.23,1,7,2019
2019,0,5,1,156884474.21,14,3,2017
2022,0,5,1,154873166.16,3,10,2020
2019,0,5,1,147134967.72,24,8,2008
2020,0,5,1,145580750.81,29,12,2018
2014,0,5,1,144602816.67,19,9,2012
2014,0,5,1,135917965.4,24,3,2014
2020,0,5,1,135019301.13,3,3,2018
2017,0,5,1,133094989.94,1,7,2014
2018,0,5,1,131550862.65,13,7,2008
2020,0,5,1,127636739.02,25,10,2018
2016,0,5,1,122917479.35,20,6,2012
2023,0,11,2,24130664.44,24,9,2019
2018,0,5,1,121688175.42,21,11,2015
2016,0,5,1,120356964.11,14,12,2012
2023,0,11,2,23003000.0,24,12,2020
2019,0,5,1,118513600.0,13,12,2018
2022,0,5,1,114128724.05,24,1,2019
2016,0,11,2,20627788.0,11,6,2006
2017,0,5,1,104074229.86,21,5,2014
2019,0,5,1,101997550.0,20,7,2015
2023,0,5,1,100570757.12,13,2,2022
2014,0,10,1,100000000.0,19,12,2012
2018,0,5,1,93374853.36,25,4,2015
2018,0,5,1,93079181.13,1,8,2015
2015,0,5,1,92007694.04,13,8,2005
2023,0,5,1,89056812.07,22,11,2018
2023,0,5,1,85819122.37,24,11,2019
2021,0,5,1,85110962.4,21,10,2020
2020,0,5,1,84937562.43,11,12,2017
2022,0,5,1,83409208.5,20,5,2020
2023,0,5,1,82522930.0,2,9,2018
2022,0,5,1,80697028.23,2,1,2020
2023,0,5,1,80645327.1,12,12,2022
2020,0,5,1,75000000.0,24,7,2017
2014,0,5,1,72905897.76,23,8,2011
2021,0,5,1,67880233.74,1,2,2017
2023,0,5,1,67239952.08,11,6,2018
2016,0,5,1,63023789.78,26,3,2014
2022,0,5,1,58688742.39,6,1,2016
2023,0,4,1,58004606.43,17,7,2019
2018,0,5,1,57312992.61,25,9,2013
2017,0,5,1,56490275.0,17,5,2015
2020,0,5,1,56187468.9,13,7,2017
2022,0,4,1,55890186.9,24,3,2019
2022,0,5,1,55606600.27,21,10,2021
2021,0,5,1,54227810.4,21,2,2020
